id,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_int,payment_type,monthly_charges,total_charges,churn,tenure_month,has_churned,has_phone,has_internet,has_internet_and_phone,partner_dependents,start_day,phone_type,internet_type,contract_type
0,0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9.0,False,True,True,True,3,2020-05-03,One Line,DSL,1 Year
1,0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9.1,False,True,True,True,0,2020-05-03,Two or More Lines,DSL,Month-to-Month
2,0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,3.8,True,True,True,True,0,2020-11-03,One Line,Fiber Optic,Month-to-Month
3,0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98.0,1237.85,Yes,12.6,True,True,True,True,1,2020-02-03,One Line,Fiber Optic,Month-to-Month
4,0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3.2,True,True,True,True,1,2020-11-03,One Line,Fiber Optic,Month-to-Month
5,0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8.2,False,True,True,True,2,2020-06-03,One Line,DSL,Month-to-Month
6,0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72.1,False,True,True,True,1,2015-02-03,One Line,Fiber Optic,2 Year
7,0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,63.5,False,True,True,True,1,2015-11-03,Two or More Lines,Fiber Optic,2 Year
8,0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7.1,False,True,True,True,0,2020-07-03,One Line,DSL,Month-to-Month
9,0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,65.9,False,True,True,True,3,2015-09-03,Two or More Lines,DSL,2 Year
10,0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54.4,False,False,True,False,0,2016-08-03,No Phone Service,DSL,2 Year
11,0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72.4,False,True,True,True,3,2015-02-03,Two or More Lines,Fiber Optic,2 Year
12,0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5.1,False,True,True,True,1,2020-09-03,One Line,Fiber Optic,Month-to-Month
13,0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,71.7,False,True,True,True,0,2015-03-03,Two or More Lines,Fiber Optic,2 Year
14,0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,56.8,False,False,True,False,0,2016-06-03,No Phone Service,DSL,2 Year
15,0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,71.5,False,True,True,True,3,2015-03-03,Two or More Lines,Fiber Optic,2 Year
16,0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,32.5,False,False,True,False,3,2018-06-03,No Phone Service,DSL,1 Year
17,0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1.0,False,True,True,True,0,2021-01-03,Two or More Lines,Fiber Optic,Month-to-Month
18,0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,44.5,True,True,True,True,0,2017-06-03,One Line,DSL,1 Year
19,0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1.0,True,False,True,False,0,2021-01-03,No Phone Service,DSL,Month-to-Month
20,0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,51.8,False,True,False,False,1,2016-11-03,Two or More Lines,No Internet Service,1 Year
21,0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,12.9,True,True,True,True,1,2020-02-03,Two or More Lines,Fiber Optic,Month-to-Month
22,0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,22.1,False,True,True,True,3,2019-04-03,Two or More Lines,Fiber Optic,Month-to-Month
23,0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,2.9,False,True,False,False,0,2020-12-03,One Line,No Internet Service,Month-to-Month
24,0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,3.8,True,True,False,False,3,2020-11-03,One Line,No Internet Service,Month-to-Month
25,0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,1.0,True,False,True,False,3,2021-01-03,No Phone Service,DSL,Month-to-Month
26,0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,54.5,False,True,True,True,3,2016-08-03,One Line,Fiber Optic,1 Year
27,0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,53.5,False,True,False,False,3,2016-09-03,One Line,No Internet Service,2 Year
28,0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,24.1,False,True,False,False,0,2019-02-03,One Line,No Internet Service,1 Year
29,0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,70.9,False,True,False,False,3,2015-04-03,One Line,No Internet Service,2 Year
30,0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,35.6,False,True,True,True,3,2018-03-03,One Line,Fiber Optic,1 Year
31,0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,44.1,False,True,False,False,1,2017-06-03,One Line,No Internet Service,1 Year
